trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
15	word	po ta to pe ri od be ne fit	116.0	3.0	4.0	4.5	2	15	116.0000087916851	123.00329216668615
16	simple	ne ne ne ne ne ne ne ne ne	124.0	3.0	4.0	4.5	2	16	124.00000704167178	131.00317524996353
17	random	to be pe fit ne od ta ri po	132.0	3.0	4.0	4.5	2	17	132.0000178749906	139.00296049995814
18	random	be fit to ta ne od po ri pe	140.0	3.0	4.0	4.5	2	18	140.00002091669012	147.00316729169572
19	simple	to to to to to to to to to	148.0	3.0	4.0	4.5	2	19	148.0000056666904	155.00318866665475
20	word	po ta to pe ri od be ne fit	156.0	3.0	4.0	4.5	2	20	156.0000129166874	163.00294762500562
21	simple	fit fit fit fit fit fit fit fit fit	164.0	3.0	4.0	4.5	2	21	164.00000887498027	171.00298795831623
22	simple	ta ta ta ta ta ta ta ta ta	172.0	3.0	4.0	4.5	2	22	172.00001441669883	179.00386545830406
23	simple	ne ne ne ne ne ne ne ne ne	180.0	3.0	4.0	4.5	2	23	180.00001695827814	187.00291133328574
24	simple	od od od od od od od od od	188.0	3.0	4.0	4.5	2	24	188.00001820828766	195.0028726249584
25	random	po od be fit ne ta pe to ri	196.0	3.0	4.0	4.5	2	25	196.0000046666828	203.00335583329434
26	simple	fit fit fit fit fit fit fit fit fit	204.0	3.0	4.0	4.5	2	26	204.0000062083127	211.00308604165912
27	simple	to to to to to to to to to	212.0	3.0	4.0	4.5	2	27	212.00001437496394	219.0031875416753
28	word	pe ri od be ne fit po ta to	220.0	3.0	4.0	4.5	2	28	220.0000069999951	227.00351874995977
29	word	be ne fit po ta to pe ri od	228.0	3.0	4.0	4.5	2	29	228.0000025833142	235.00327254168224
30	simple	ne ne ne ne ne ne ne ne ne	236.0	3.0	4.0	4.5	2	30	236.0000082916813	243.00314183329465
31	word	pe ri od be ne fit po ta to	244.0	3.0	4.0	4.5	2	31	244.00001441669883	251.00326937501086
32	word	po ta to pe ri od be ne fit	252.0	3.0	4.0	4.5	2	32	252.00002287497045	259.00293412496103
33	random	od fit ne be po pe ta to ri	260.0	3.0	4.0	4.5	2	33	260.0000067499932	267.00346549996175
34	word	po ta to pe ri od be ne fit	268.0	3.0	4.0	4.5	2	34	268.0000166249811	275.00337445829064
35	random	od ri ne ta fit to be po pe	276.0	3.0	4.0	4.5	2	35	276.0000106249936	283.0028457916924
36	simple	to to to to to to to to to	284.0	3.0	4.0	4.5	2	36	284.0000092916889	291.00303191668354
37	random	ne ta fit to po be pe od ri	292.0	3.0	4.0	4.5	2	37	292.0000137499883	299.00336433330085
38	word	po ta to be ne fit pe ri od	300.0	3.0	4.0	4.5	2	38	300.0000180833158	307.00308695831336
39	random	pe be od ta fit ri po ne to	308.0	3.0	4.0	4.5	2	39	308.00000349996844	315.00304020830663
40	random	fit ne ri to be ta od po pe	316.0	3.0	4.0	4.5	2	40	316.0000069583184	323.0035777083249
41	random	ta pe be ne po to od ri fit	324.0	3.0	4.0	4.5	2	41	324.000009041687	331.00371874996927
42	word	be ne fit po ta to pe ri od	332.0	3.0	4.0	4.5	2	42	332.00001616665395	339.0034728333121
