trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
1	simple	na na na na na na na na na	4	4	4	4.5	1	1	4.000017500016838	12.004334400000516
2	simple	si si si si si si si si si	13	4	4	4.5	1	2	13.000017700018361	21.00447820001864
3	word	mu si cal ca na da fa mi ly	22	4	4	4.5	1	3	22.00001330001396	30.004446700011613
4	random	cal won ful si na da ca der mu	31	4	4	4.5	1	4	31.00001330001396	39.0043285000138
5	random	mi ful cal mu ly si won der fa	40	4	4	4.5	1	5	40.00001750001684	48.00440190001973
6	word	fa mi ly ca na da won der ful	49	4	4	4.5	1	6	49.000012900010915	57.00425990001531
7	random	mi na cal ly mu si ca fa da	58	4	4	4.5	1	7	58.00001160000102	66.0040752000059
8	word	ca na da mu si cal fa mi ly	67	4	4	4.5	1	8	67.00001400001929	75.0046721000108
9	random	cal won ful si na da ca der mu	76	4	4	4.5	1	9	76.00001700001303	84.00454250001349
10	simple	mu mu mu mu mu mu mu mu mu	85	4	4	4.5	1	10	85.00001720001455	93.00421040001675
trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
1	simple	na na na na na na na na na	4	4	4	4.5	1	1	4.000012200034689	12.004443300014827
2	simple	si si si si si si si si si	13	4	4	4.5	1	2	13.000017300015315	21.00447169999825
3	word	mu si cal ca na da fa mi ly	22	4	4	4.5	1	3	22.00001300004078	30.004279500048142
4	random	cal won ful si na da ca der mu	31	4	4	4.5	1	4	31.000014399993233	39.004510600003414
5	random	mi ful cal mu ly si won der fa	40	4	4	4.5	1	5	40.00001750001684	48.00433120003436
6	word	fa mi ly ca na da won der ful	49	4	4	4.5	1	6	49.000012000033166	57.004497300018556
7	random	mi na cal ly mu si ca fa da	58	4	4	4.5	1	7	58.000013900047634	66.00439380004536
8	word	ca na da mu si cal fa mi ly	67	4	4	4.5	1	8	67.00001170003088	75.00440490001347
9	random	cal won ful si na da ca der mu	76	4	4	4.5	1	9	76.00001680001151	84.00440130004426
10	simple	mu mu mu mu mu mu mu mu mu	85	4	4	4.5	1	10	85.00001790001988	93.0041804999928
trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
1	simple	go go go go go go go go go	4	4	4	4.5	1	1	4.0000168001279235	12.004492399981245
2	simple	tal tal tal tal tal tal tal tal tal	13	4	4	4.5	1	2	13.000017300015315	21.004620400024578
3	word	prac ti cal pa  go da po ta to	22	4	4	4.5	1	3	22.00001349998638	30.00437550013885
4	random	cal tal to prac ta ti pi po ca	31	4	4	4.5	1	4	31.000013099983335	39.00436950009316
5	random	go pa  cal po ta to prac da ti	40	4	4	4.5	1	5	40.00001349998638	48.00444860011339
6	word	pa  go da prac ti cal ca pi tal	49	4	4	4.5	1	6	49.00001360010356	57.00470450008288
7	random	po to pi cal ti ca tal prac ta	58	4	4	4.5	1	7	58.00001469999552	66.00440800003707
8	word	po ta to prac ti cal pa  go da	67	4	4	4.5	1	8	67.00001620012335	75.00456120003946
9	random	ta tal ca pa  go da po pi to	76	4	4	4.5	1	9	76.00001700012945	84.00478080008179
10	simple	po po po po po po po po po	85	4	4	4.5	1	10	85.00001770001836	93.00408919993788
trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
1	simple	go go go go go go go go go	4	4	4	4.5	1	1	4.000012199860066	12.00449479999952
2	simple	tal tal tal tal tal tal tal tal tal	13	4	4	4.5	1	2	13.000016300007701	21.004044800065458
3	word	prac ti cal pa  go da po ta to	22	4	4	4.5	1	3	22.000020100036636	30.005084699951112
4	random	cal tal to prac ta ti pi po ca	31	4	4	4.5	1	4	31.000023500062525	39.00951400003396
5	random	go pa  cal po ta to prac da ti	40	4	4	4.5	1	5	40.000014499993995	48.00456289993599
6	word	pa  go da prac ti cal ca pi tal	49	4	4	4.5	1	6	49.000016199890524	57.004043499939144
7	random	po to pi cal ti ca tal prac ta	58	4	4	4.5	1	7	58.00001750001684	66.00445030000992
8	word	po ta to prac ti cal pa  go da	67	4	4	4.5	1	8	67.00001229997724	75.00455409986898
9	random	ta tal ca pa  go da po pi to	76	4	4	4.5	1	9	76.00001269998029	84.00432020006701
10	simple	po po po po po po po po po	85	4	4	4.5	1	10	85.00001229997724	93.00422600004822
