trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
1	word	pa  go da ty pi cal com pu ter	4.0	3.0	3.0	3.5	1	1	4.0000150999985635	10.004464900004677
2	word	ty pi cal pa  go da com pu ter	13.0	3.0	3.0	3.5	1	2	13.000013600016246	19.004607700015185
3	word	tor pe do ty pi cal pa  go da	22.0	3.0	3.0	3.5	1	3	22.000012700009393	28.004571600002237
4	simple	ty ty ty ty ty ty ty ty ty	31.0	3.0	3.0	3.5	1	4	31.00001470002462	37.00446390002617
5	random	tor com ter do cal ty pu pe pi	40.0	3.0	3.0	3.5	1	5	40.0000119000033	46.004508400015766
6	random	tor ter com ty cal pi do pu pe	49.0	3.0	3.0	3.5	1	6	49.00001740001608	55.004529300000286
7	word	com pu ter ty pi cal tor pe do	58.0	3.0	3.0	3.5	1	7	58.000015199999325	64.0050224000006
8	random	pi cal pa  do tor ty pe da go	67.0	3.0	3.0	3.5	1	8	67.00001560000237	73.0040910000098
9	random	da com tor pu do pa  go ter pe	76.0	3.0	3.0	3.5	1	9	76.00001509999856	82.00454030002584
10	random	pu ty ter pe tor com pi cal do	85.0	3.0	3.0	3.5	1	10	85.00001330001396	91.00443230001838
11	word	com pu ter pa  go da ty pi cal	94.0	3.0	3.0	3.5	1	11	94.00001240000711	100.00415040002554
12	word	tor pe do pa  go da ty pi cal	103.0	3.0	3.0	3.5	1	12	103.00001420002081	109.00460520002525
13	word	pa  go da tor pe do ty pi cal	112.0	3.0	3.0	3.5	1	13	112.00001670001075	118.00442460001796
14	word	pa  go da tor pe do com pu ter	121.0	3.0	3.0	3.5	1	14	121.00001720001455	127.00416310000583
15	word	com pu ter tor pe do pa  go da	130.0	3.0	3.0	3.5	1	15	130.00001509999856	136.00452080002287
16	random	pu pi ty cal go com da pa  ter	139.0	3.0	3.0	3.5	1	16	139.00001310001244	145.00454080000054
17	random	pi pa  go ty pu cal com da ter	148.0	3.0	3.0	3.5	1	17	148.00001210000482	154.00445020000916
18	word	ty pi cal pa  go da tor pe do	157.0	3.0	3.0	3.5	1	18	157.0000149999978	163.00435500001186
19	word	ty pi cal tor pe do pa  go da	166.0	3.0	3.0	3.5	1	19	166.00001790001988	172.00449390002177
20	simple	pe pe pe pe pe pe pe pe pe	175.0	3.0	3.0	3.5	1	20	175.00001750001684	181.0043903000187
21	random	go do pi ty pa  cal tor pe da	184.0	3.0	3.0	3.5	1	21	184.0000188999984	190.00441590000992
22	random	da cal com pi pu go ter ty pa 	193.0	3.0	3.0	3.5	1	22	193.00001650000922	199.00446680001915
23	simple	pa  pa  pa  pa  pa  pa  pa  pa  pa 	202.0	3.0	3.0	3.5	1	23	202.0000171000138	208.00443630001973
24	simple	do do do do do do do do do	211.0	3.0	3.0	3.5	1	24	211.00001220000559	217.00450950002414
25	simple	go go go go go go go go go	220.0	3.0	3.0	3.5	1	25	220.00001480002538	226.00453270002618
26	word	com pu ter tor pe do ty pi cal	229.0	3.0	3.0	3.5	1	26	229.00001540000085	235.00433690001955
27	simple	pu pu pu pu pu pu pu pu pu	238.0	3.0	3.0	3.5	1	27	238.0000132000132	244.00457800002187
28	random	tor do ter pi cal com ty pe pu	247.0	3.0	3.0	3.5	1	28	247.00001470002462	253.00453330000164
29	random	ter go pa  pu com da tor do pe	256.0	3.0	3.0	3.5	1	29	256.0000121000048	262.00449550000485
trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
1	word	prac ti cal cri ti cal bo go ta	4.0	4.0	4.0	4.5	1	1	4.000016100006178	12.00440519998665
2	random	po ta ti ta go to bo prac cal	14.0	4.0	4.0	4.5	1	2	14.000018299993826	22.00436229998013
3	random	cri cal go ta po to ti bo ta	24.0	4.0	4.0	4.5	1	3	24.000015099998564	32.00408929999685
4	simple	cri cri cri cri cri cri cri cri cri	34.0	4.0	4.0	4.5	1	4	34.00001769998926	42.004477599984966
5	random	go bo ti cal ti cal cri ta prac	44.0	4.0	4.0	4.5	1	5	44.000015199999325	52.004317299986724
6	simple	cal cal cal cal cal cal cal cal cal	54.0	4.0	4.0	4.5	1	6	54.00001719998545	62.00424629999907
7	word	cri ti cal bo go ta prac ti cal	64.0	4.0	4.0	4.5	1	7	64.00001709998469	72.00435079997987
8	random	cal po to cal prac cri ti ti ta	74.0	4.0	4.0	4.5	1	8	74.00001150000026	82.0043597999902
9	random	bo go ta po cal prac to ta ti	84.0	4.0	4.0	4.5	1	9	84.00001089999569	92.00409050000599
10	word	prac ti cal po ta to cri ti cal	94.0	4.0	4.0	4.5	1	10	94.00001160000102	102.00453760000528
11	word	bo go ta cri ti cal po ta to	104.0	4.0	4.0	4.5	1	11	104.00001600000542	112.00441470000078
12	word	prac ti cal cri ti cal po ta to	114.0	4.0	4.0	4.5	1	12	114.00001180000254	122.00445559999207
13	word	po ta to prac ti cal cri ti cal	124.0	4.0	4.0	4.5	1	13	124.00001519999932	132.00444059999427
14	random	cal cri ti prac ti ta go cal bo	134.0	4.0	4.0	4.5	1	14	134.00001220000559	142.00429660000373
15	random	ti go ti cal cri bo ta prac cal	144.0	4.0	4.0	4.5	1	15	144.0000141999917	152.00430100000813
16	simple	bo bo bo bo bo bo bo bo bo	154.0	4.0	4.0	4.5	1	16	154.00001869999687	162.00433199998224
17	word	po ta to cri ti cal bo go ta	164.0	4.0	4.0	4.5	1	17	164.00001789999078	172.00440209999215
18	simple	ti ti ti ti ti ti ti ti ti	174.0	4.0	4.0	4.5	1	18	174.00001160000102	182.00430929998402
19	random	ti ta ti cal prac cal to po cri	184.0	4.0	4.0	4.5	1	19	184.00001459999476	192.00459120000596
20	random	cal prac ta ti po bo to ta go	194.0	4.0	4.0	4.5	1	20	194.00001699998393	202.00434290000703
21	random	go bo ta prac to ta cal po ti	204.0	4.0	4.0	4.5	1	21	204.00001610000618	212.00466139998753
22	word	prac ti cal po ta to bo go ta	214.0	4.0	4.0	4.5	1	22	214.00001409999095	222.00449190000654
23	word	cri ti cal po ta to bo go ta	224.0	4.0	4.0	4.5	1	23	224.00001519999932	232.00438249998842
