algo,lam,thresh,f_mean,f_std,t_mean,mem_mean,eps,min_samples,metric,ker_win,peak_thr,model,penalty,min_size,jump,seg_len
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.09775710711810029,0.003419738095238094,,,,,,l2,3.0,10.0,5.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.10109840968479625,0.003509547619047619,,,,,,l2,5.0,10.0,5.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.10143875290634155,0.0035181428571428573,,,,,,l2,5.0,5.0,5.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.10170634914123054,0.0035935238095238095,,,,,,l2,3.0,5.0,5.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.10440361124346964,0.0035151904761904764,,,,,,l2,3.0,1.0,5.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.10573204268889856,0.0037108571428571433,,,,,,l2,10.0,1.0,5.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,0.10586365878476672,0.003662571428571429,,,,,,l2,5.0,1.0,5.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,2.1204137242873133,0.005821285714285715,,,,,,l2,10.0,10.0,1.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,2.1871957093535457,0.005814809523809524,,,,,,l2,5.0,10.0,1.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,2.2326912262416,0.005814928571428572,,,,,,l2,10.0,5.0,1.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,2.25769014392669,0.0057924047619047625,,,,,,l2,3.0,10.0,1.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,2.3549308977103682,0.005836976190476191,,,,,,l2,3.0,5.0,1.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,2.409228465309189,0.005997809523809524,,,,,,l2,10.0,1.0,1.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,2.4376281488124127,0.005988690476190475,,,,,,l2,5.0,1.0,1.0,
ruptures_pelt,,,0.1283415502953318,0.01614215101354197,2.5018726518125427,0.005845357142857143,,,,,,l2,5.0,5.0,1.0,
bocpd_offline,25.0,0.35,0.1283415502953318,0.01614215101354197,3.6960221994557374,0.0014160238095238095,,,,,,,,,,
bocpd_offline,400.0,0.5,0.1283415502953318,0.01614215101354197,3.7085891250947802,0.0014427380952380952,,,,,,,,,,
bocpd_offline,25.0,0.5,0.1283415502953318,0.01614215101354197,3.713186012953797,0.0014628333333333333,,,,,,,,,,
bocpd_offline,25.0,0.2,0.1283415502953318,0.01614215101354197,3.7168875734233078,2.497475333333333,,,,,,,,,,
bocpd_offline,200.0,0.65,0.1283415502953318,0.01614215101354197,3.7202283799027405,0.0014334285714285714,,,,,,,,,,
bocpd_offline,400.0,0.35,0.1283415502953318,0.01614215101354197,3.720438681497139,0.0014149761904761905,,,,,,,,,,
bocpd_offline,25.0,0.8,0.1283415502953318,0.01614215101354197,3.7237076894712766,0.0013674285714285715,,,,,,,,,,
bocpd_offline,25.0,0.65,0.1283415502953318,0.01614215101354197,3.7297773531019978,0.0014183333333333335,,,,,,,,,,
bocpd_offline,400.0,0.2,0.1283415502953318,0.01614215101354197,3.732123518835232,0.0013975,,,,,,,,,,
bocpd_offline,200.0,0.35,0.1283415502953318,0.01614215101354197,3.739097855052456,0.001416809523809524,,,,,,,,,,
bocpd_offline,200.0,0.5,0.1283415502953318,0.01614215101354197,3.7437198313543507,0.0013871666666666668,,,,,,,,,,
bocpd_offline,200.0,0.8,0.1283415502953318,0.01614215101354197,3.7453143998642364,0.0014103571428571429,,,,,,,,,,
bocpd_offline,100.0,0.2,0.1283415502953318,0.01614215101354197,3.7519748393055385,0.0013873809523809524,,,,,,,,,,
bocpd_offline,50.0,0.8,0.1283415502953318,0.01614215101354197,3.760544916666168,0.0014174047619047617,,,,,,,,,,
bocpd_offline,100.0,0.35,0.1283415502953318,0.01614215101354197,3.761303444453959,0.001392738095238095,,,,,,,,,,
bocpd_offline,400.0,0.8,0.1283415502953318,0.01614215101354197,3.7679119345210936,0.0015485000000000002,,,,,,,,,,
bocpd_offline,100.0,0.5,0.1283415502953318,0.01614215101354197,3.780811958403016,0.0014745238095238095,,,,,,,,,,
bocpd_offline,400.0,0.65,0.1283415502953318,0.01614215101354197,3.7920066092102345,0.0014088809523809525,,,,,,,,,,
bocpd_offline,100.0,0.65,0.1283415502953318,0.01614215101354197,3.8207287074280125,0.001385190476190476,,,,,,,,,,
bocpd_offline,50.0,0.2,0.1283415502953318,0.01614215101354197,3.8240103116134248,0.001416595238095238,,,,,,,,,,
bocpd_offline,50.0,0.65,0.1283415502953318,0.01614215101354197,3.8790208501921457,0.0014069761904761907,,,,,,,,,,
bocpd_offline,200.0,0.2,0.1283415502953318,0.01614215101354197,3.8827547965740363,0.0014179047619047622,,,,,,,,,,
bocpd_offline,100.0,0.8,0.1283415502953318,0.01614215101354197,3.9442461675761953,0.0014287142857142855,,,,,,,,,,
bocpd_offline,50.0,0.5,0.1283415502953318,0.01614215101354197,3.9880447727641912,0.0014001428571428574,,,,,,,,,,
bocpd_offline,50.0,0.35,0.1283415502953318,0.01614215101354197,4.072474243975843,0.001409452380952381,,,,,,,,,,
foote_novelty,,,0.1283347293259285,0.037043839570537127,0.016893783664619105,0.003002904761904762,,,,28.0,2.5,,,,,
ruptures_pelt,,,0.1279680675689079,0.016203685170075154,0.09595763683596271,0.0034508333333333335,,,,,,l2,1.0,10.0,5.0,
dbscan_segmentation,,,0.1279163802273046,0.01598866477998303,0.004994019732943603,0.0013165476190476189,0.7,5.0,cosine,,,,,,,
foote_novelty,,,0.12786823901079336,0.041347179605499405,0.01611238883370312,0.004084714285714286,,,,8.0,2.5,,,,,
ruptures_pelt,,,0.12740866252033878,0.016847634881190496,0.09898343550213169,0.003417619047619048,,,,,,l2,1.0,1.0,5.0,
ruptures_pelt,,,0.12740866252033878,0.016847634881190496,0.09979993845280703,0.0034787380952380955,,,,,,l2,1.0,5.0,5.0,
foote_novelty,,,0.12719774128205302,0.0499834881700314,0.016237688453180625,0.004022761904761906,,,,16.0,2.5,,,,,
uniform_segmentation,,,0.12710679007342027,0.04238493932685318,5.489216640680319e-06,0.00017200000000000003,,,,,,,,,,100.0
dbscan_segmentation,,,0.12701183712351338,0.01686696993672205,0.005184807427992512,0.0012073809523809522,0.5,3.0,cosine,,,,,,,
dbscan_segmentation,,,0.12646239503509796,0.050233535617396796,0.003393338286384408,0.0015162380952380952,0.7,5.0,euclidean,,,,,,,
dbscan_segmentation,,,0.12636186953413844,0.01585339295431119,0.005117112137321826,0.0011775476190476189,0.7,10.0,cosine,,,,,,,
dbscan_segmentation,,,0.12631761543048498,0.04244484601941853,0.0034924682196495788,0.0015185714285714286,0.5,3.0,euclidean,,,,,,,
foote_novelty,,,0.12572534422131817,0.035675574939027364,0.017196733124798073,0.0048485238095238095,,,,32.0,2.0,,,,,
foote_novelty,,,0.12523030908771868,0.04183227853564432,0.016249254923812777,0.0019633333333333334,,,,20.0,3.0,,,,,
ruptures_pelt,,,0.12497400444658294,0.028455960737511964,1.1100935535505414,0.005844214285714285,,,,,,rbf,10.0,10.0,1.0,
ruptures_pelt,,,0.12497400444658294,0.028455960737511964,1.14478928956946,0.005843880952380952,,,,,,rbf,10.0,5.0,1.0,
ruptures_pelt,,,0.12497400444658294,0.028455960737511964,1.1664796359573735,0.0058646666666666665,,,,,,rbf,10.0,1.0,1.0,
dbscan_segmentation,,,0.12411955711653329,0.05093038205308034,0.0033348104694769496,0.001503547619047619,0.3,5.0,euclidean,,,,,,,
foote_novelty,,,0.12370914379308437,0.03958492891583649,0.017089398787079733,0.0031280238095238093,,,,24.0,2.5,,,,,
dbscan_segmentation,,,0.1229825149589007,0.05149416344136182,0.0048845832865308265,0.0014711666666666666,0.3,10.0,cosine,,,,,,,
dbscan_segmentation,,,0.12283863597775933,0.051547164538285936,0.0036165655501896425,0.0015456428571428572,0.7,10.0,euclidean,,,,,,,
foote_novelty,,,0.12283029854967133,0.036661264944063125,0.017248634925289524,0.005646095238095237,,,,32.0,1.8,,,,,
dbscan_segmentation,,,0.12268338134474063,0.019215861974856804,0.004959177568144653,0.0013944761904761903,0.5,5.0,cosine,,,,,,,
dbscan_segmentation,,,0.12255575337811446,0.050827843558281176,0.007977826405771165,0.008098904761904764,0.3,3.0,euclidean,,,,,,,
foote_novelty,,,0.12185455201655779,0.04141401093537058,0.01632651281432204,0.003470214285714286,,,,20.0,2.5,,,,,
foote_novelty,,,0.12182344912715914,0.0425789606802369,0.01618984121125236,0.004238428571428571,,,,10.0,2.5,,,,,
dbscan_segmentation,,,0.12163238861471104,0.04240963361753764,0.003548828422069727,0.001515119047619048,0.5,10.0,euclidean,,,,,,,
foote_novelty,,,0.12125241717209054,0.04566538445929495,0.016235475194185882,0.004266166666666667,,,,12.0,2.5,,,,,
dbscan_segmentation,,,0.12117362535847269,0.040727784687119954,0.003481604138089876,0.0014890000000000003,0.5,5.0,euclidean,,,,,,,
foote_novelty,,,0.12103085909577523,0.03635347822940403,0.016253361089010945,0.005195547619047619,,,,4.0,2.0,,,,,
foote_novelty,,,0.1204774593411219,0.029332562286809936,0.017227883934364877,0.007056452380952381,,,,32.0,1.5,,,,,
foote_novelty,,,0.11978338903397019,0.02744771329666012,0.017023759860811487,0.0068415476190476195,,,,28.0,1.5,,,,,
foote_novelty,,,0.11940145004017186,0.03432438436416414,0.016245453400881075,0.006548142857142858,,,,16.0,2.0,,,,,
foote_novelty,,,0.11885719236792673,0.03216639082374014,0.017076125073279918,0.0054806190476190475,,,,28.0,1.8,,,,,
foote_novelty,,,0.11862252178165289,0.03113906582942319,0.01716841066705196,0.004812285714285715,,,,24.0,2.0,,,,,
foote_novelty,,,0.11826073142771328,0.0345662877904132,0.016201025861803265,0.006642785714285714,,,,12.0,2.0,,,,,
foote_novelty,,,0.11799039109707052,0.031798763886154754,0.016223804570645803,0.005889666666666666,,,,6.0,2.0,,,,,
foote_novelty,,,0.11774426874359764,0.032169544945663056,0.016202800643874242,0.007639904761904763,,,,12.0,1.8,,,,,
foote_novelty,,,0.11621806450863825,0.029366848522904,0.01719548013837387,0.004587928571428571,,,,28.0,2.0,,,,,
foote_novelty,,,0.11602578645998497,0.030516899192857168,0.017285433428783324,0.00889902380952381,,,,32.0,1.2,,,,,
foote_novelty,,,0.1159662796871808,0.026820486734580772,0.01696853873519493,0.008456190476190477,,,,28.0,1.2,,,,,
foote_novelty,,,0.11577135362871176,0.027525686025842103,0.01666596325646554,0.005678428571428571,,,,24.0,1.8,,,,,
foote_novelty,,,0.11525649776129494,0.029073921678459555,0.016446267860287446,0.0056500238095238105,,,,20.0,2.0,,,,,
foote_novelty,,,0.11486886486529252,0.034711728835649734,0.016348153814241023,0.006170166666666667,,,,4.0,1.8,,,,,
foote_novelty,,,0.11485208078774078,0.03250619868272979,0.016177206448489977,0.0064400714285714296,,,,10.0,2.0,,,,,
foote_novelty,,,0.11484320154202765,0.026229564908713088,0.01729356746017445,0.01004602380952381,,,,32.0,1.0,,,,,
foote_novelty,,,0.11372265568004027,0.02534583901716054,0.01628034928719336,0.006656357142857142,,,,20.0,1.8,,,,,
foote_novelty,,,0.11372070131314625,0.028065203391396523,0.0170131815262028,0.01066502380952381,,,,28.0,0.8,,,,,
foote_novelty,,,0.11369075779289824,0.026848645323109568,0.017340945499849374,0.009538214285714285,,,,28.0,1.0,,,,,
foote_novelty,,,0.11368862379914679,0.03006302185405307,0.016178921591268762,0.006814119047619048,,,,6.0,1.8,,,,,
foote_novelty,,,0.11324717211761245,0.03044307826119475,0.016265522902055334,0.006252333333333334,,,,8.0,2.0,,,,,
foote_novelty,,,0.1128295249195005,0.02636457296484257,0.01627174112114257,0.007137261904761905,,,,8.0,1.8,,,,,
foote_novelty,,,0.11272407338817872,0.02758142275491677,0.016282195402752785,0.007400095238095238,,,,10.0,1.8,,,,,
foote_novelty,,,0.11266503243724754,0.02547953836636853,0.016428815455929863,0.007223023809523811,,,,24.0,1.5,,,,,
foote_novelty,,,0.11191671906396262,0.030277314321791888,0.016368283780701903,0.007654380952380953,,,,16.0,1.8,,,,,
foote_novelty,,,0.11157013565773222,0.028293470394200985,0.016311130949318232,0.008433261904761905,,,,20.0,1.5,,,,,
foote_novelty,,,0.11121020006560818,0.02862127837881719,0.016315600188959035,0.009373047619047618,,,,16.0,1.5,,,,,
foote_novelty,,,0.11062294729810974,0.02786146549873887,0.01639479756981711,0.00917590476190476,,,,12.0,1.5,,,,,
foote_novelty,,,0.10988239867214476,0.022714802449973905,0.016218475261536826,0.00890502380952381,,,,10.0,1.5,,,,,
foote_novelty,,,0.10979352652066507,0.026961681774608476,0.016475017858846558,0.008921404761904762,,,,24.0,1.2,,,,,
foote_novelty,,,0.1093220862735147,0.02727796573901471,0.016565518905519553,0.010201404761904762,,,,24.0,1.0,,,,,
