algo,prec_mean,rec_mean,f1_mean,time_mean,mem_mean,n_files
bocpd_offline,1.0,0.06864934202800928,0.1283415502953318,3.7737500049226496,0.0015404999999999998,42
dbscan_segmentation,0.4620688174259603,0.09019604812985323,0.134001918026546,0.004855593236806314,0.0015376190476190476,42
energy_drop,0.39258314436885866,0.07707425045291771,0.12110523829769637,0.00011295035836242495,0.10842666666666666,42
energy_knee,1.0,0.06864934202800928,0.1283415502953318,0.0008493789577014034,0.0005390000000000001,42
foote_novelty,0.11526947116685846,0.2297014419803009,0.14921543045924648,0.01699482550057361,0.0023887857142857144,42
ruptures_pelt,0.10802462659935524,0.3681430315416015,0.16504596394209373,0.17630049204758724,0.0033761428571428575,42
spectral_flux,0.18385811324441467,0.1811268321243627,0.17693421291323166,0.005856552597833797,0.002094452380952381,42
sylber_greedy,0.08969169058454772,0.05652217207170768,0.06443680156739082,0.007476967234175564,0.0009393571428571429,42
uniform_segmentation,0.1875,0.10231757285310286,0.13170899570485492,9.270808992109128e-06,0.000432,42
