trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
1	word	cri ti cal prac ti cal po ta to	4.0	3.0	4.0	4.5	1	1	4.000017083308194	11.00334770831978
2	simple	ti ti ti ti ti ti ti ti ti	12.0	3.0	4.0	4.5	1	2	12.000007750000805	19.003286249993835
3	word	po ta to cri ti cal prac ti cal	20.0	3.0	4.0	4.5	1	3	20.000010666670278	27.003183416672982
4	word	prac ti cal po ta to cri ti cal	28.0	3.0	4.0	4.5	1	4	28.000011625001207	35.00338820827892
5	simple	prac prac prac prac prac prac prac prac prac	36.0	3.0	4.0	4.5	1	5	36.000018666672986	43.00316416664282
6	simple	po po po po po po po po po	44.0	3.0	4.0	4.5	1	6	44.00001154164784	51.00338120828383
7	word	po ta to cri ti cal prac ti cal	52.0	3.0	4.0	4.5	1	7	52.0000139583135	59.00348849996226
8	random	ti cri to ti cal ta cal prac po	60.0	3.0	4.0	4.5	1	8	60.00001004169462	67.00317874999018
9	random	cri cal to ta prac po ti ti cal	68.0	3.0	4.0	4.5	1	9	68.00000816665124	75.00314233329846
10	simple	ti ti ti ti ti ti ti ti ti	76.0	3.0	4.0	4.5	1	10	76.00001249997877	83.0034159583156
11	random	ti ti cal po to cri cal ta prac	84.0	3.0	4.0	4.5	1	11	84.00000483327312	91.0030175416614
12	random	to cri po ta cal prac cal ti ti	92.0	3.0	4.0	4.5	1	12	92.00001908332342	99.00318883330328
13	word	po ta to cri ti cal prac ti cal	100.0	3.0	4.0	4.5	1	13	100.00000354164513	107.00364483328303
14	simple	cri cri cri cri cri cri cri cri cri	108.0	3.0	4.0	4.5	1	14	108.00001091667218	115.0033096249681
15	random	cal po cri cal prac ti to ti ta	116.0	3.0	4.0	4.5	1	15	116.00001566665014	123.00346449995413
16	word	po ta to prac ti cal cri ti cal	124.0	3.0	4.0	4.5	1	16	124.00001262500882	131.00369729165686
17	word	prac ti cal cri ti cal po ta to	132.0	3.0	4.0	4.5	1	17	132.00000737496885	139.0034956666641
18	simple	prac prac prac prac prac prac prac prac prac	140.0	3.0	4.0	4.5	1	18	140.00001149997115	147.00331587495748
19	word	prac ti cal po ta to cri ti cal	148.0	3.0	4.0	4.5	1	19	148.0000067083165	155.00397824996617
20	random	cal ti to prac cri po cal ti ta	156.0	3.0	4.0	4.5	1	20	156.00001441669883	163.0044177499949
21	random	prac cal po ta cri cal ti ti to	164.0	3.0	4.0	4.5	1	21	164.00001849996625	171.00341487495461
22	simple	ta ta ta ta ta ta ta ta ta	172.0	3.0	4.0	4.5	1	22	172.00001854164293	179.00498312496347
23	word	prac ti cal cri ti cal po ta to	180.0	3.0	4.0	4.5	1	23	180.00001712498488	187.00515062495833
24	word	po ta to prac ti cal cri ti cal	188.0	3.0	4.0	4.5	1	24	188.00001570826862	195.00327975000255
25	simple	prac prac prac prac prac prac prac prac prac	196.0	3.0	4.0	4.5	1	25	196.00001749995863	203.0034544999944
26	word	po ta to cri ti cal prac ti cal	204.0	3.0	4.0	4.5	1	26	204.00001562497346	211.00357520830585
27	word	prac ti cal cri ti cal po ta to	212.0	3.0	4.0	4.5	1	27	212.00001650000922	219.00343829166377
28	word	po ta to prac ti cal cri ti cal	220.0	3.0	4.0	4.5	1	28	220.00000858330168	227.00386295828503
29	word	po ta to prac ti cal cri ti cal	228.0	3.0	4.0	4.5	1	29	228.0000126666855	235.00328800000716
30	random	cri cal ti prac to ta po ti cal	236.0	3.0	4.0	4.5	1	30	236.00000633328455	243.00336279167095
31	random	cal ti to cal prac ti ta po cri	244.0	3.0	4.0	4.5	1	31	244.0000111249974	251.00369612500072
32	simple	cri cri cri cri cri cri cri cri cri	252.0	3.0	4.0	4.5	1	32	252.00001479167258	259.00333204166964
33	simple	cri cri cri cri cri cri cri cri cri	260.0	3.0	4.0	4.5	1	33	260.0000160833006	267.00334312499035
34	word	po ta to cri ti cal prac ti cal	268.0	3.0	4.0	4.5	1	34	268.00000862497836	275.0035721666645
35	simple	cal cal cal cal cal cal cal cal cal	276.0	3.0	4.0	4.5	1	35	276.0000122083002	283.00327874999493
36	word	prac ti cal po ta to cri ti cal	284.0	3.0	4.0	4.5	1	36	284.0000100833131	291.00340620829957
37	simple	to to to to to to to to to	292.0	3.0	4.0	4.5	1	37	292.0000109166722	299.00346520828316
38	random	ti ta cal cal ti cri prac po to	300.0	3.0	4.0	4.5	1	38	300.0000177916954	307.00328879168956
39	simple	po po po po po po po po po	308.0	3.0	4.0	4.5	1	39	308.0000191250001	315.0031952916761
40	word	po ta to cri ti cal prac ti cal	316.0	3.0	4.0	4.5	1	40	316.0000152916764	323.00345070828917
41	word	cri ti cal po ta to prac ti cal	324.0	3.0	4.0	4.5	1	41	324.00001691665966	331.0031875416753
42	random	cal cri po ta prac to cal ti ti	332.0	3.0	4.0	4.5	1	42	332.00001174997305	339.0037644999684
