trial_num	condition	stimulus	start_time	go_signal	resp_time	record_time	run	trial	start_time_real	end_time_real
1	word	tor pe do ty pi cal pre da tor	4.0	3.0	4.0	4.5	1	1	4.000016541685909	11.003518291690852
2	simple	cal cal cal cal cal cal cal cal cal	12.0	3.0	4.0	4.5	1	2	12.000003833381925	19.003039333387278
3	simple	cal cal cal cal cal cal cal cal cal	20.0	3.0	4.0	4.5	1	3	20.00001825002255	27.003624000004493
4	simple	cal cal cal cal cal cal cal cal cal	28.0	3.0	4.0	4.5	1	4	28.000002916669473	35.00469162501395
5	simple	pe pe pe pe pe pe pe pe pe	36.0	3.0	4.0	4.5	1	5	36.000007833354175	43.00347970839357
6	word	ty pi cal tor pe do pre da tor	44.0	3.0	4.0	4.5	1	6	44.000004999979865	51.00335745839402
7	simple	pi pi pi pi pi pi pi pi pi	52.0	3.0	4.0	4.5	1	7	52.00001512502786	59.003277125011664
8	random	do pe da ty pre tor pi cal tor	60.0	3.0	4.0	4.5	1	8	60.00000558339525	67.00317104166606
9	random	da cal tor pre pe do ty pi tor	68.0	3.0	4.0	4.5	1	9	68.00001304165926	75.0032806249801
10	word	ty pi cal pre da tor tor pe do	76.0	3.0	4.0	4.5	1	10	76.000007249997	83.003595541697
11	random	cal tor da pe pre do ty pi tor	84.0	3.0	4.0	4.5	1	11	84.00001895835157	91.00340658338973
12	random	cal do da pe ty pre tor pi tor	92.0	3.0	4.0	4.5	1	12	92.00000966666266	99.00312695838511
13	word	tor pe do ty pi cal pre da tor	100.0	3.0	4.0	4.5	1	13	100.00001795840217	107.00388387497514
14	word	pre da tor ty pi cal tor pe do	108.0	3.0	4.0	4.5	1	14	108.00001145835267	115.00342287501553
15	word	ty pi cal tor pe do pre da tor	116.0	3.0	4.0	4.5	1	15	116.00000599998748	123.0032959167147
16	random	pi cal tor pre tor pe da do ty	124.0	3.0	4.0	4.5	1	16	124.00001362501644	131.0033264583908
17	word	tor pe do pre da tor ty pi cal	132.0	3.0	4.0	4.5	1	17	132.00000295840437	139.0032827500254
18	simple	tor tor tor tor tor tor tor tor tor	140.0	3.0	4.0	4.5	1	18	140.00000445835758	147.0033520417055
19	random	tor ty tor cal pre do pe pi da	148.0	3.0	4.0	4.5	1	19	148.0000119166798	155.00383454171242
20	simple	tor tor tor tor tor tor tor tor tor	156.0	3.0	4.0	4.5	1	20	156.00001687498298	163.00342433335027
21	simple	pre pre pre pre pre pre pre pre pre	164.0	3.0	4.0	4.5	1	21	164.00001379166497	171.0030992917018
22	random	tor do tor cal da pi pre ty pe	172.0	3.0	4.0	4.5	1	22	172.00001675001113	179.0033016250236
23	word	ty pi cal tor pe do pre da tor	180.0	3.0	4.0	4.5	1	23	180.00000954169082	187.00342800002545
24	simple	pe pe pe pe pe pe pe pe pe	188.0	3.0	4.0	4.5	1	24	188.00001208338654	195.0032400416676
25	simple	da da da da da da da da da	196.0	3.0	4.0	4.5	1	25	196.00001616671216	203.00341641670093
26	word	ty pi cal pre da tor tor pe do	204.0	3.0	4.0	4.5	1	26	204.0000178749906	211.0032289166702
27	simple	tor tor tor tor tor tor tor tor tor	212.0	3.0	4.0	4.5	1	27	212.00001766666537	219.0031518333708
28	simple	pe pe pe pe pe pe pe pe pe	220.0	3.0	4.0	4.5	1	28	220.00001616671216	227.00362416671123
29	word	ty pi cal pre da tor tor pe do	228.0	3.0	4.0	4.5	1	29	228.00001712498488	235.00324295839528
30	word	pre da tor tor pe do ty pi cal	236.0	3.0	4.0	4.5	1	30	236.00001750001684	243.00317183334846
31	simple	pi pi pi pi pi pi pi pi pi	244.0	3.0	4.0	4.5	1	31	244.00001145835267	251.00401741667883
32	simple	ty ty ty ty ty ty ty ty ty	252.0	3.0	4.0	4.5	1	32	252.00001879170304	259.00317779165925
33	simple	da da da da da da da da da	260.0	3.0	4.0	4.5	1	33	260.0000098749879	267.0032575833611
34	simple	da da da da da da da da da	268.0	3.0	4.0	4.5	1	34	268.000008333358	275.0036770416773
35	word	tor pe do pre da tor ty pi cal	276.0	3.0	4.0	4.5	1	35	276.00001491670264	283.0034157083719
36	simple	pe pe pe pe pe pe pe pe pe	284.0	3.0	4.0	4.5	1	36	284.00000737502705	291.00314083340345
37	simple	pre pre pre pre pre pre pre pre pre	292.0	3.0	4.0	4.5	1	37	292.0000158333569	299.00356849998934
38	simple	ty ty ty ty ty ty ty ty ty	300.0	3.0	4.0	4.5	1	38	300.00001437502215	307.00319545838283
39	random	tor pre ty pe pi da cal tor do	308.0	3.0	4.0	4.5	1	39	308.00001000001794	315.0032048749854
40	random	pi cal pe da tor tor pre do ty	316.0	3.0	4.0	4.5	1	40	316.0000093749841	323.0038868333795
41	simple	da da da da da da da da da	324.0	3.0	4.0	4.5	1	41	324.0000087916851	331.00320783338975
42	random	do pi ty pre cal tor tor pe da	332.0	3.0	4.0	4.5	1	42	332.00001545838313	339.00323341670446
